#languages that colexify these two concepts,concept1,concept2
6,OUR,YES
6,OTHER,NEXT
6,OPEN,UNCOVER
6,OPEN,LET GO OR SET FREE
6,OPEN,BLOOM
6,NOSE,LIME (FRUIT)
6,NORTH,UP
6,NORTH,MOUTH
6,NOISE,TONE (MUSIC)
6,NIECE,DAUGHTER-IN-LAW (OF MAN)
6,NEW,WHITE
6,NEW,NOW
6,NEW,CUT DOWN
6,NARROW,FEW
6,NAME,SKIN
6,NAME,HORSE
6,NAIL (TOOL),PEG
6,MY,YOUR (PLURAL)
6,MY,THEIR
6,MUSHROOM,WASH
6,MULE,HORSE
6,MOW,HARVEST
6,MOVE,LEAVE
6,MOUTH,PRAWNS
6,MOTHER-IN-LAW (OF WOMAN),SON-IN-LAW (OF WOMAN)
6,MOTHER-IN-LAW (OF MAN),STEPMOTHER
6,MOTHER-IN-LAW (OF MAN),MOTHER'S SISTER
6,MOTHER,FEMALE
6,MOTHER,FATHER'S SISTER
6,MORE,OFTEN
6,MORE,ENOUGH
6,MONEY,SCALE
6,MISTAKE,BLAME
6,MISPLACE,SPIT
6,MISPLACE,FORGET
6,MIND,MEANING
6,MIND,INTENTION
6,MILL,MORTAR CRUSHER
6,MIDDLE,GAP (DISTANCE)
6,MIDDLE,BETWEEN
6,MEETING HOUSE,TEMPLE
6,MEDICINE,TOBACCO
6,MEDICINE,PILL
6,MEAT,LIME (FRUIT)
6,MEASURE,TASTE (SOMETHING)
6,MEASURE,IMITATE
6,MATERNAL GRANDFATHER,PATERNAL GRANDMOTHER
6,MASTER,OWN
6,MASON,CARPENTER
6,MARRY,HAVE SEX
6,MARKET,SUNDAY
6,MARKET,SON
6,MARKET,KNIFE (CLASSIFIER)
6,MANY,NOT
6,MANNER,WHERE
6,LUNG,LIVER
6,LOW,SMALL
6,LOUSE,LAKE
6,LOUSE,CUT
6,LOUD,STRONG
6,LISTEN,SMELL (PERCEIVE)
6,LIP,SMELL (PERCEIVE)
6,LIP,POINT (WITH FINGER)
6,LIGHT (RADIATION),TONGUE
6,LIGHT (RADIATION),ELECTRICITY
6,LIFT,HOLD OR TAKE
6,LIE DOWN,"DWELL (LIVE, RESIDE)"
6,LICK,HOLLOW OUT
6,LETTER,PATTERN
6,LEG,FOOTPRINT
6,LEAVE,SEPARATE
6,LEAVE,RIDE
6,LEAVE,RETREAT
6,LEAVE,FLEE
6,LEAVE,DRY UP
6,LEAVE,DIVORCE
6,LEATHER,STONE
6,LEATHER,SKIN (OF FRUIT)
6,LEARN,ANNOUNCE
6,LEAF,LETTER
6,LEAF,EAR
6,LEAD (CHEMICAL ELEMENT),TIN OR TINPLATE
6,LAW,JUDGMENT
6,LAW,COURT
6,LAST (FINAL),AFTER
6,LAKE,POND
6,KNOW (SOMETHING),THINK (BELIEVE)
6,KNIFE,DAUGHTER-IN-LAW (OF WOMAN)
6,KNIFE,AXE
6,KNEE,CALF OF LEG
6,KISS,SNIFF
6,KID,GOAT
6,KEEP,PICK UP
6,JUMP,TRAVERSE
6,JOG (SOMETHING),SWING (SOMETHING)
6,JEWEL,STONE OR ROCK
6,JAW,MOUTH
6,IRON,KNIFE (FOR EATING)
6,INTESTINES,HIDE
6,INSECT,CATERPILLAR
6,INCREASE,SURPASS
6,IN FRONT OF,FORWARD
6,IN,WITH
6,IMMEDIATELY,SUDDENLY
6,IMITATE,LEAF
6,I,FIVE
6,I,BLOOD
6,I,BLACK
6,HOW MUCH,WHEN
6,HOW,RAINING OR RAIN
6,HOUSE,IN
6,HORN (ANATOMY),CUP
6,HOLE,INSIDE
6,HOLD,TOUCH
6,HIRE OR RENT,TRAP (CATCH)
6,HIRE OR RENT,CATCH
6,HIGH,SKY
6,HERE,AT
6,HEAR,RIPEN
6,HEAD,TREE STUMP
6,HEAD,SUMMIT
6,HEAD,OLD PERSON
6,HEAD,GOURD
6,HAVE,"DWELL (LIVE, RESIDE)"
6,HAPPEN,RESULT IN
6,HANG UP,FROST
6,HALF,MIDDLE
6,HAIR (HEAD),FEATHER OR FUR OR HAIR
6,HAIR,HOUSE
6,GUEST,RELATIVES
6,GROW,GIVE BIRTH
6,GROW,BECOME
6,GRIND,THRESH
6,GRIND,SPLIT
6,GRIND,MELT
6,GRIND,FEED
6,GRIEF,PITY
6,GRANDMOTHER,GRANDDAUGHTER
6,GRANDFATHER,FATHER
6,GRAIN,RYE
6,GOOD,FAT (ORGANIC SUBSTANCE)
6,GO UP (ASCEND),SCRAPE
6,GIVE BACK,SURRENDER
6,GIVE,YES
6,GIVE,SAY
6,GIVE,MARRY (AS WOMAN)
6,GIVE,EYE
6,GET,TRAP (CATCH)
6,GET,BORROW
6,GATHER,CHOOSE
6,FURROW,MILK
6,FRY,BREAK (DESTROY OR GET DESTROYED)
6,FRUIT,HARVEST
6,FORGIVE,ACQUIT
6,FOOD,MEAT
6,FOOD,BURNING
6,FLY (INSECT),HONEY
6,FLOWER,HEART
6,FLOWER,FENCE
6,FLOW,LEAVE
6,FLOW,DRIBBLE
6,FLOUR,BREAD
6,FLAME,TONGUE
6,FISHHOOK,TRAP (PITFALL)
6,FIRE,TAIL
6,FIRE,BE
6,FINGER,FINGERNAIL
6,FIND,EARN
6,FIGHT,SHOOT
6,FIELD,HAIR (HEAD)
6,FIELD,GRASS
6,FEW,TWO
6,FEMALE (OF PERSON),DAUGHTER
6,FEAR (FRIGHT),MUSHROOM
6,FATHER-IN-LAW (OF WOMAN),DAUGHTER-IN-LAW (OF WOMAN)
6,FATHER-IN-LAW (OF MAN),STEPFATHER
6,FATHER-IN-LAW (OF MAN),MOTHER-IN-LAW (OF WOMAN)
6,FATHER-IN-LAW (OF MAN),DAUGHTER-IN-LAW (OF MAN)
6,FATHER,MALE (OF ANIMAL)
6,FAT (OBESE),FAT (OF MEAT AND FOOD)
6,FART,FAECES (EXCREMENT)
6,FAR,FOR A LONG TIME
6,FALL,BREAK (DESTROY OR GET DESTROYED)
6,FALL,BREAK (CLEAVE)
6,FALL,BE BORN
6,FACE,HUNDRED
6,EYE,GREEN
6,EYE,BURN
6,EXPLAIN,PREACH
6,ENTER,TRAVERSE
6,EMPTY,NOTHING OR ZERO
6,EMPTY,NO OR NOT
6,EMBRACE,BROOD (VERB)
6,EMBERS,FIRE
6,ELBOW,ARM
6,EDGE,SHORE OF LAKE
6,EAT,RICE
6,EAT,PATH OR ROAD
6,EAT,PATH
6,EARTH (SOIL),TEN
6,EARTH (SOIL),ASK (INQUIRE)
6,"DWELL (LIVE, RESIDE)",SLEEP
6,"DWELL (LIVE, RESIDE)",BECOME
6,DUST,LAND
6,DRY UP,SQUEEZE
6,DRY UP,DRAW MILK
6,DRY,EGG
6,DRIVE,MOVE (ONESELF)
6,DREAM (SOMETHING),THIN (OF HAIR AND LEAF)
6,DRAW (WATER),HIT
6,DOOR,CLAN
6,DOG,UNCOOKED RICE
6,DOG,BANANA
6,DITCH,MILK
6,DISAPPEAR,CEASE
6,DIG,PLAIT OR BRAID OR WEAVE
6,DIE,WIPE
6,DESTROY,GRIND
6,DENY,NO
6,DEEP,DIFFICULT
6,DEEP,BLACK
6,DECEIT,BETRAY
6,DEAF,MUTE
6,DARKNESS,EVENING
6,DAMAGE OR INJURE,WOUND
6,CURE,PRESERVE
6,CURE,MEDICINE
6,COVER,WRAP
6,COVER,FILL
6,COVER,CLOSE (EYES)
6,COUNTRY,STATE (POLITICS)
6,CORPSE,DEAD
6,COOKHOUSE,OVEN
6,COOKED,BOIL (OF LIQUID)
6,CONNECT,KNIT
6,CONGEAL (BLOOD),BECOME SOUR
6,CONDEMN,SCOLD
6,CONCEIVE,THINK (REFLECT)
6,COMMAND,CALL BY NAME
6,COME,GIVE
6,COME,FIRE
6,COME,APPROACH
6,COCONUT,RABBIT
6,COCONUT,OUR
6,CLOSE (EYES),FILL
6,CLIMB,CREEP
6,CLIMB,CRAWL
6,CLEVER,KNOW (SOMETHING)
6,CLEAN,PURE
6,CLAW,HAND
6,CHURCH,MOSQUE
6,CHOP (INTO PIECES),CHOP
6,CHOKE,DRAW MILK
6,CHIME (ACTION),KNOCK
6,CHILD (DESCENDANT),CLAN
6,CHICKEN (CLASSIFIER),TREE (CLASSIFIER)
6,CHICKEN,FEAR (BE AFRAID)
6,CHEAP,CORRECT (RIGHT)
6,CHANGE,ANSWER
6,CAUSE,DO OR MAKE
6,CASSAVA,HE
6,CARVE,DIG
6,CARRY,PULL
6,CARRY,HEAR
6,CARRY,GIVE
6,CAR,MACHINE
6,CALL,SHRIEK
6,CABBAGE,RABBIT
6,BUY,PRICE
6,BUY,PICK UP
6,BURY,FILL
6,BURN (SOMETHING),SHOOT
6,BURN (SOMETHING),COOK (SOMETHING)
6,BURN,FILL
6,BUCKWHEAT,CHEW
6,BRING,CARRY IN HAND
6,BRIGHT,CROW (VERB)
6,BREATH OR BREATHE,WIND
6,BREAST,EGG
6,BREAK (DESTROY OR GET DESTROYED),FELL (A TREE)
6,BRANCH OR TWIG,TREE TRUNK
6,BRAIN,HEAD
6,BRAID,HAIR (HEAD)
6,BRACELET,WHEEL
6,BOTTLE,GLASS
6,BORROW,SUGAR CANE
6,BODY,MEAT
6,BLOW (OF WIND),YAM
6,BLOW (OF WIND),SHOOT
6,BLOOD,WATER
6,BLOOD,THATCH OR ROOF
6,BLACKSMITH,FORGE
6,BITE,COOKED
6,BIRD,URINE
6,BIG,MORE
6,BIG,FATHER
6,BETWEEN,GAP (DISTANCE)
6,BELOW OR UNDER,FLOOR
6,BELIEVE,KNOW (SOMETHING)
6,BELIEVE,ADMIT
6,BEHIND,OUTSIDE
6,BEFORE,ONCE (IN THE PAST)
6,BEE,FLY (INSECT)
6,BECOME,SUCCEED
6,BEAN,PEA
6,BEAD,SEED
6,BE SILENT,QUIET
6,BE DEAD OR DIE,ROTTEN
6,BE,CORRECT (RIGHT)
6,BAY,LAGOON
6,BATHE,WATER
6,BARLEY,RYE
6,BARK,CLAN
6,BAMBOO,FAT (OBESE)
6,BAKE,STOVE
6,BAKE,BOIL (OF LIQUID)
6,BAIT,FOOD
6,BAD,SICK
6,BAD,DEMON
6,AXLE,CLUB
6,AXE,PLAIT OR BRAID OR WEAVE
6,AWL,NEEDLE (FOR SEWING)
6,AUNT,MOTHER-IN-LAW (OF WOMAN)
6,AUNT,MOTHER-IN-LAW (OF MAN)
6,AUNT,COUSIN
6,ARROW,REED
6,ANNOUNCE,PREACH
6,AND,WHERE
6,AND,HIS OR HER
6,AGE,OLD
6,ADMIT,PROMISE
6,ADJUDICATE,CONVICT
5,YOUR (SINGULAR),CHILD (YOUNG HUMAN)
5,YOUR (SINGULAR),CHILD
5,YOUR (PLURAL),THEE (OBLIQUE CASE OF YOU)
5,YOUNG,CHILD
5,YOUNG,BABY
5,YES,ME
5,YARD,THRESHING-FLOOR
5,YARD,COURT
5,WRONG,MISS (A TARGET)
5,WRONG,EVIL
5,WRITE,DROP (SOMETHING)
5,WRITE,DIG
5,WOUND,BOIL (OF SKIN)
5,WORK (LABOUR),WORK (ACTIVITY)
5,WORK (ACTIVITY),MAKE
5,WOOL,WAIT (FOR)
5,WOOD,WEAR (ON HEAD)
5,WINE,BEVERAGE
5,WIND,WINTER
5,WIFE,OLD WOMAN
5,WIFE,FIRE
5,WIFE,DRUM
5,WHO,OIL (ORGANIC SUBSTANCE)
5,WHO,NAME
5,WHO,HEAD
5,WHITE,ICE
5,WHERE,BACK (DIRECTION)
5,WHEN,HOW MANY
5,WHEAT,WHITE
5,WHAT,WHEN
5,WHAT,WE
5,WHAT,TREE
5,WHAT,ONE
5,WET,WHITE
5,WEIGH,HEAVY
5,WEAVE,DO
5,WEAVE,CUT
5,WEAVE,BRAID (VERB)
5,WE (INCLUSIVE),WE TWO (INCLUSIVE)
5,WATER,SEA
5,WATER,DOG
5,WATCH,HERD (SOMETHING)
5,WARM,LEFT
5,WARM,HEAT
5,WANT,SPEAK
5,WANT,DO
5,WANT,DESIRE
5,WALKING STICK,WOOD
5,WALK,CUT
5,WAKE UP,BURNING
5,VOMIT,TWIST
5,VINE,ROOT
5,VILLAGE,ISLAND
5,VEIL,RAG
5,VEGETABLES,CABBAGE
5,VALLEY,PASTURE
5,URINE,SHIVER
5,UNTIE,TURN AROUND
5,UNHUSKED RICE,RICE
5,UNCLE (HUSBAND OF FATHER'S SISTER),FATHER-IN-LAW
5,UNCLE,SIBLING
5,UNCLE,OLDER BROTHER
5,UNCLE,FATHER-IN-LAW (OF WOMAN)
5,UNCLE,COUSIN
5,TWIST (AROUND),WEAVE
5,TWIST (AROUND),CROOKED
5,TURN (SOMETHING),TWIST
5,TREE,BEAM
5,TRADE OR BARTER,MARKET
5,TOP,ROOF
5,TOP,ABOVE
5,TOOTH,EAT
5,TOE,FOOT
5,TIN OR TINPLATE,CAN
5,TIGER,TROUSERS
5,THUNDER,SKY
5,THUNDER,DRAGON
5,THUNDER,CLOUD
5,THROW,MISPLACE
5,THROW,KNOW (SOMETHING)
5,THROW,DIG
5,THRESH,RUB
5,THREE,FOUR
5,THOUGHT,MEMORY
5,THOU,THEY
5,THOU,RAT
5,THOU,HE
5,THOU,BREAST
5,THIRSTY,SEVEN
5,THINK (BELIEVE),IDEA
5,THING,LOAD
5,THIN (OF SHAPE OF OBJECT),WEAK
5,THIN (OF SHAPE OF OBJECT),FLAT
5,THIN,LEAN (MEAT)
5,THICK,FAT (ORGANIC SUBSTANCE)
5,THEY,TWO
5,THEY,THAT
5,TEMPLES,TEMPLE
5,TELL,TEN
5,TASTE (SOMETHING),SMELL (PERCEIVE)
5,TARO,TALK
5,TAKE,WORK (LABOUR)
5,TAKE,NEED (NOUN)
5,TAKE,FELL (A TREE)
5,TAKE,CUT DOWN
5,TAIL,CUT DOWN
5,TABLE,DISH
5,SWORD,SCYTHE
5,SWIM,MACAW
5,SWEET,HONEY
5,SURPRISED,FEAR (FRIGHT)
5,SUN,YEAR
5,SUN,TOOTH
5,SUN,EAR
5,SUCK,STRETCH
5,SUCK,MELT
5,SUCK,HUMMINGBIRD
5,SUCCEED,RESULT IN
5,STRING,BOW STRING
5,STRIKE OR BEAT,STAB TO DEATH
5,STRAW SANDAL,CUT (WITH SCISSORS)
5,STRAW SANDAL,COST
5,STRAIGHT,VERTICAL
5,STOVE,CHEW
5,STORY,NEWS
5,STORY,MESSAGE
5,STONE,FRUIT
5,STOMACH,SHIRT
5,STINGY,HARD
5,STICK,POST
5,STEPFATHER,FATHER
5,STAND UP,HALT (STOP)
5,STAND,SUGAR CANE
5,STAND,DRUM
5,STAND,DO
5,SPEECH,TALK
5,SPEECH,NEWS
5,SPEECH,ANNOUNCE
5,SPEAR,WAR
5,SPEAR,STAB
5,SPEAR,LEAF
5,SPEAR,AXE
5,SPEAK,TARO
5,SPEAK,DO OR MAKE
5,SOUR,CITRUS FRUIT
5,SOUR,CATTY (MASS UNIT)
5,SOUP,SKY
5,SOUL,BE ALIVE
5,SON,NIECE
5,SON,MALE PERSON
5,SOME,HOW MANY PIECES
5,SOFT,EASY
5,SNOW,WINTER
5,SMOOTH,SWEET POTATO
5,SMOKE (EXHAUST),SOOT
5,SMELL (STINK),FEEL
5,SMELL (STINK),COARSE
5,SMALL,THIN
5,SMALL,FRUIT
5,SMALL,EGG
5,SLOW,QUIET
5,SLIP,CRAWL OR CREEP
5,SKY,DAY (24 HOURS)
5,SKIN,PULL OFF (SKIN)
5,SKIN,GOAT
5,SKIN,FLESH
5,SKIN,FIRE
5,SKIN,BASKET
5,SIZE (OF OBJECT),HEIGHT
5,SIX,FIR
5,SIT DOWN,SET (HEAVENLY BODIES)
5,SIT,STAND
5,SIT,SET (HEAVENLY BODIES)
5,SIT,EAT
5,SIT,BE ALIVE OR LIFE
5,SISTER,FRIEND
5,SING,SPEAK
5,SING,DIG
5,SIDE,RIB
5,SIDE,FACE
5,SICK,TIRED
5,SICK,SORE
5,SHOW,VISIBLE
5,SHOW,SEEM
5,SHOW,EXPLAIN
5,SHOUT,WORD
5,SHORT,WIDE
5,SHORT,ROUND
5,SHOOT,FAECES (EXCREMENT)
5,SHOOT,EAT
5,SHOOT,DIG
5,SHOOT,ARROW
5,SHIT (DEFECATE),FAECES (EXCREMENT)
5,SHINE,TWINKLE
5,SHINE,FRY
5,SHIELD,MULE
5,SHEEP,LIGHT (WEIGHT)
5,SHE,THOU (HONORIFIC)
5,SHARPEN (SOMETHING),MELT
5,SHARP,THORN
5,SHARP,BITE
5,SHARE,STEAL
5,SHAMAN (FOLK HEALER),CHIEFTAIN
5,SHALLOW,THIN (OF LEAF AND CLOTH)
5,SHAKE,FIVE
5,SHAKE,BELOW OR UNDER
5,SEW,SOW SEEDS
5,SEW,POUR
5,SERVANT,BOARD
5,SEIZE,TOUCH
5,SEIZE,PINCH
5,SEIZE,KEEP
5,SEIZE,HOLD OR TAKE
5,SEIZE,HIRE OR RENT
5,SEIZE,EMBRACE
5,SEIZE,BE LATE
5,SEED,WOMAN
5,SEED,TOOTH
5,SEE,THINK (BELIEVE)
5,SEE,EAT
5,SEE,CUT (WITH SCISSORS)
5,SEE,BECOME SOUR
5,SEA OR OCEAN,POND OR LAKE
5,SCRATCH,SET (HEAVENLY BODIES)
5,SCOLD,THREATEN
5,SCOLD,BLAME
5,SCATTER (SEEDS),DO
5,SAY,TOOTH
5,SAY,THINK (BELIEVE)
5,SAY,COMMAND
5,SAY,ADMIT
5,SAP,GLUE
5,SAP,FLESH OR MEAT
5,SALT,LAMB
5,SALT,CORRECT (RIGHT)
5,SAIL,DIVE
5,RYE,OAT
5,RUN,HURRY
5,RUN,DASH (OF VEHICLE)
5,RUB,SCRATCH
5,ROW,SPLASH
5,ROW,MIX
5,ROUND,LEAD (CHEMICAL ELEMENT)
5,ROTTEN,CAULIFLOWER
5,ROTTEN,CABBAGE
5,ROOM,FAMILY
5,ROLL,TUMBLE (FALL DOWN)
5,ROAST OR FRY,OVEN
5,RIVER,BEVERAGE
5,RISE (MOVE UPWARDS),RESULT IN
5,RISE (MOVE UPWARDS),FLY (MOVE THROUGH AIR)
5,RIGHT,EAT
5,RIB,SHORE
5,RIB,LUNG
5,RIB,BONE
5,REST,HALT (STOP)
5,RESCUE,PROTECT
5,REPAIR,IMPROVE (SOMETHING)
5,REMAIN,HALT (STOP)
5,RELATIVES,FRIEND
5,RELATIVES,DIFFERENT-SEX OLDER SIBLING
5,RAIN (PRECIPITATION),YEAR
5,RAIN (PRECIPITATION),WEATHER
5,RAIN (PRECIPITATION),ONE
5,RAIN (PRECIPITATION),DAY (NOT NIGHT)
5,RABBIT,MANGO
5,PUT ON,LOAD
5,PUT,PLANT (SOMETHING)
5,PUT,GATHER
5,PUT,FOLD
5,PUT,BUILD
5,PUSH,WIPE
5,PUSH,WING
5,PUSH,URGE (SOMEONE)
5,PUSH,STAB TO DEATH
5,PUSH,DIG
5,PUS,SWAMP
5,PURE,THIN (OF HAIR AND THREAD)
5,PULL OFF (SKIN),SCRAPE
5,PULL,STEAL
5,PULL,ROOT
5,PULL,KILL
5,PRISON,STABLE
5,PRECIPICE,EDGE
5,PRAISE,WORSHIP
5,POUR,MOLD
5,POUR,DO
5,POST,RIDGEPOLE
5,POOR,ORPHAN
5,POND,WELL
5,POINTED,TIP (OF OBJECT)
5,POINTED,END (OF SPACE)
5,POINTED,CAPE
5,PLOUGH,SPLIT
5,PLAIN,SMOOTH
5,PLAIN,PLACE (POSITION)
5,PLAIN,FURROW
5,PLACE (POSITION),TOWN
5,PLACE (POSITION),FLOOR
5,PITCHFORK,RAKE
5,PISS,SLAUGHTER
5,PISS,KILL
5,PINE,CANDLE
5,PINCH,CARRY UNDER ARM
5,PIG,EAR
5,PIG,CARRY ON SHOULDER
5,PICK UP,FOLD
5,PESTLE,HANDLE
5,PERSON (CLASSIFIER),EGG (CLASSIFIER)
5,PERSON (CLASSIFIER),BOWL (CLASSIFIER)
5,PERSON,CHILD (YOUNG HUMAN)
5,PEOPLE,FAMILY
5,PEOPLE,COUNTRY
5,PENIS,SISTER-IN-LAW
5,PEN,SIX
5,PEEL,RUB
5,PATH,JOURNEY
5,PART,SLICE
5,PALM OF HAND,PALM TREE
5,PAIR,YES
5,PAINFUL,PAINFUL OR SICK
5,OVERCOME,TWIST
5,OUTSIDE,UP
5,OUTSIDE,COURTYARD
5,OPEN,RUB
5,ONE TIME,WALK (CLASSIFIER)
5,OLDER SISTER,YOUNGER SIBLING
5,OLDER SISTER,FATHER'S SISTER
5,OLDER BROTHER,YOUNGER SIBLING
5,OLDER BROTHER,FATHER'S BROTHER
5,OLD (AGED),NOT
5,OLD,RIPE
5,OLD,HUSBAND
5,OINTMENT,TONGUE
5,NUT,GRAIN
5,NO,YES
5,NIECE,STEPDAUGHTER
5,NEW,RIPEN
5,NEW,NINE
5,NEW,CLEAN
5,NEST,SPIDER WEB
5,NEPHEW,YOUNGER BROTHER
5,NEPHEW,UNCLE
5,NEPHEW,SON-IN-LAW (OF MAN)
5,NARROW,THIN (SLIM)
5,NARROW,FINE OR THIN
5,NARROW,DIVE
5,NARROW,CARRY UNDER ARM
5,NAPE (OF NECK),THROAT
5,NAME,COOKED
5,MY,YES
5,MUROID (MOUSE OR RAT),WEAR
5,MUD,ADOBE
5,MOW,STRIKE OR BEAT
5,MOVE,MOVE (ONESELF)
5,MOVE,CHANGE
5,MOUTH,PATH
5,MOUTH,DRINK
5,MOUNTAIN,PILE UP
5,MOUNTAIN,FETCH
5,MOTHER-IN-LAW (OF MAN),MOTHER
5,MOTHER'S BROTHER,COUSIN
5,MOTHER,THIS
5,MOTHER,MOTHER-IN-LAW
5,MOSQUITO,SLEEP
5,MORNING,NIGHT
5,MORNING,FORENOON
5,MOON,DOG
5,MIDDLE,DISTANCE
5,MEASURE,FATHOM
5,MASTER,POWERFUL
5,MARRY,SLEEP
5,MANY,FIVE
5,MANY,BEAR
5,MANGO,CAULIFLOWER
5,MAN,OLD MAN
5,MAKE,CAUSE TO (LET)
5,MACHINE,MOTOR
5,LUNG,LIGHT (WEIGHT)
5,LOW,DEEP
5,LOUSE,TOOTH
5,LOUSE,THIS
5,LOUSE,NIT
5,LOUSE,MOUNTAIN
5,LOUSE,HOUSE
5,LOUSE,HEAD
5,LOUSE,DIE
5,LOOK FOR,STIR
5,LOOK,READ
5,LONG,STRAIGHT
5,LIGHTNING,UMBRELLA
5,LIGHT (RADIATION),WHITE
5,LIGHT (RADIATION),CLEAR
5,LIFT,WEIGH
5,LIE DOWN,WOMAN
5,LET GO OR SET FREE,PERMIT
5,LEG,TONGUE
5,LEG,SKY
5,LEG,HIP
5,LEAVE,PASS
5,LEAVE,DIVIDE
5,LEATHER,PULL OFF (SKIN)
5,LEAF,UP OR ABOVE
5,LEAF,DRINK
5,LAUGH,SLEEP
5,LAST (FINAL),CEASE
5,LANGUAGE,NECK
5,LAKE,YOU
5,KNOW (SOMETHING),GUESS
5,KNIFE,MACHETE
5,KNIFE,IRON
5,KNEEL,BUCKWHEAT
5,KNEAD,SQUEEZE
5,KNEAD,GRIND
5,KISS,EMBRACE
5,KISS,DRINK
5,KING,JUDGE
5,KIND (THING),TRIBE
5,KILL,SHARPEN (SOMETHING)
5,KILL,HIDE (CONCEAL)
5,KIDNEY,FRUIT
5,KIDNEY,BE DEAD OR DIE
5,JOIN,MEET
5,JAW,BEARD
5,ITCH,SCRATCH
5,ITCH,KILL
5,IRON (CLOTHES),WALK (CLASSIFIER)
5,INTESTINES,TEA
5,INSIDE,BOW
5,IMITATE,STUDY
5,I,MOTHER
5,I,BIRD
5,I,BE
5,HUT,MEN'S HOUSE
5,HUSBAND,VOMIT
5,HUSBAND,MARRY
5,HUSBAND,FRIEND
5,HUSBAND,CHIEFTAIN
5,HUNT,KILL
5,HUNDRED,TEN THOUSAND
5,HOW,WHEN
5,HOUSE,EAT
5,HOUSE,DRY IN SUN
5,HOUSE,CAMP
5,HOUR,HIT
5,HORN (ANATOMY),PULL
5,HORN (ANATOMY),FORKED BRANCH
5,HOOK,ANCHOR
5,HOLE,SPRING OR WELL
5,HOLE,MOUTH
5,HOLD,RULE
5,HOLD,FIGHT
5,HOLD,BUILD
5,HOE,END (OF TIME)
5,HIRE OR RENT,BUY
5,HINDER OR PREVENT,BE LATE
5,HIGH,TALL (PERSON)
5,HIGH,LIVER
5,HIGH,ABOVE
5,HIDE,STEAL
5,HICCOUGH,BELCH
5,HEMP,FAECES (EXCREMENT)
5,HELMET,HEADBAND OR HEADDRESS
5,HEEL,CALF OF LEG
5,HEAVY,UNDRESS
5,HEAVY,LOAD
5,HEART,GHOST
5,HEART,COURAGE
5,HEAR,NAME
5,HEAR,ASK (INQUIRE)
5,HEALTHY,CORRECT (RIGHT)
5,HEAD,ROOF
5,HE OR SHE OR IT,AT
5,HAVE,I
5,HAVE,GIVE BIRTH
5,HAND,THUMB
5,HAND,SEA
5,GUESS,REMEMBER
5,GUESS,ADJUDICATE
5,GRAVE,PIT (POTHOLE)
5,GRASS,CUT
5,GRANDSON,DESCENDANTS
5,GRANDMOTHER,BIRD
5,GRANDFATHER,UNCLE
5,GRANDFATHER,MOTHER'S BROTHER
5,GRANDFATHER,GRANDPARENTS
5,GRANDDAUGHTER,DESCENDANTS
5,GRANDDAUGHTER,CHILD (DESCENDANT)
5,GRAIN,MAIZE
5,GRAIN,EYE
5,GOAT,VICTORY
5,GOAT,SKIN (HUMAN)
5,GOAT,LAMB
5,GO UP (ASCEND),PICK UP
5,GO OUT,LAND (DESCEND)
5,GO OUT,GO DOWN (DESCEND)
5,GO OUT,FIREWOOD
5,GO OUT,ENTER
5,GO DOWN (DESCEND),DOWN
5,GO,SHOE
5,GO,LIVER
5,GO,LET GO OR SET FREE
5,GO,EYE
5,GIVE BACK,GATHER
5,GIVE,SEPARATE
5,GIVE,SEE
5,GIVE,PIG
5,GIVE,PENIS
5,GIVE,KILL
5,GIVE,HONEY
5,GIVE,HERE
5,GIVE,GIVE BACK
5,GIVE,DIE
5,GIVE,BONE
5,GHOST,OLD (USED)
5,GET LOST,RAINING OR RAIN
5,GET,GIVE BIRTH
5,GET,GATHER
5,GET,CHOOSE
5,GATHER,WRAP
5,GATHER,MIX
5,G-STRING,LOINCLOTH
5,FUR,SKIN (OF FRUIT)
5,FUR,LEAF
5,FULL,FILL
5,FRUIT,RICE PLANT
5,FRUIT,GRAIN (CLASSIFIER)
5,FRUIT,EYE
5,FROST,MOON OR MONTH
5,FROG,TOAD
5,FORBID,PREVENT
5,FOOT,WHEEL
5,FOOD,LUNCH
5,FOLLOW,LOOK FOR
5,FLY (MOVE THROUGH AIR),CASSOWARY
5,FLY (INSECT),SANDFLY
5,FLOWER,COLORFUL
5,FLOW,SAIL
5,FLOW,RIDE
5,FLOW,MANY
5,FLOOR,MAINLAND
5,FLOAT,FLY (MOVE THROUGH AIR)
5,FLAT,BOARD
5,FLAME,RED
5,FLAME,LANGUAGE
5,FISH,MOTHER
5,FISH,FLESH OR MEAT
5,FIRST,BEGIN OR START
5,FIREWOOD,DIE
5,FIREPLACE,COOKHOUSE
5,FIRE,NOT
5,FIRE,FIREPLACE
5,FIRE,ELECTRICITY
5,FEW,YOUNG
5,FEW,OWE
5,FEMALE (OF PERSON),MOTHER
5,FEEL,TRY
5,FAULT,CRIME
5,FAULT,CAUSE
5,FATHER'S SISTER,SISTER
5,FATHER'S BROTHER,BROTHER
5,FAT (ORGANIC SUBSTANCE),MARROW
5,FAST,LIGHT (WEIGHT)
5,FAECES (EXCREMENT),WASH (ONESELF)
5,FACE,CROSSBOW
5,EYE,UNRIPE
5,EXTINGUISH,MURDER
5,EXTINGUISH,BECOME EXTINGUISHED
5,EVIL,DAMAGE (INJURY)
5,ENTER,PUT ON
5,ENEMY,BATTLE
5,EMPTY,SKIN
5,EGG,TOOTH
5,EGG,HEART
